#,Ítem,Nick,Ciudad / Región,Restricciones en el envío
257,PACK: Pack 1 1911 Amundsen vs Scott (Precintado. Incluye las 2 promos) + Imagination (Precintado),gixmo,Asturias,
258,PACK: Pack 2 Choose One! (Abierto pero sin ninguna partida Edicion en ingles) + The Hobbit Card Game (Abierto pero sin ninguna partida) + ¡Camarero! (Abierto pero sin ninguna partida. Incluye un segundo set de cartas que todavia esta precintado),gixmo,Asturias,
,,,,
260,"PACK: WoW Wings of War: Burning Drachens + Wings of War: Dogfight Booster Pack + Wings of War: Famous Aces + Wings of War: Immelmann Booster Pack +Wings of War: Recon Patrol Booster Pack + Wings of War: Top Fighters Booster Pack + Wings of War: Watch Your Back! (Incluye las 3 cajas basicas y los 4 boosters, asi como 4 miniaturas de aviones (incluyendo la del Baron Rojo). Esta en perfecto estado, varios de los boosters no han sido desprecintados. Esta guardado en una caja de herramientas grande donde cada cosa tiene su sitio, mejor almacenado que en las cajas originales)",gixmo,Asturias,
261,"Last Word en perfecto estado con 1 sola partida, en castellano",gixmo,Asturias,
262,"Scotland Yard - Edición multilingüe año 2013, no dependiente del idioma. Reglas en Inglés, doy reglas en Español. En muy buen estado, una partida.",pepelessar,Madrid,"KIALA, TAMBIÉN OTRAS MODALIDADES SI ES NECESARIO"
263,"The Resistance - Edición estadounidense (no dependiente del idioma). Doy reglas en español. En buen estado, cartas enfundadas. Incluye expansión de cartas de trama (en inglés, también doy traducción en español).",pepelessar,Madrid,"KIALA, TAMBIÉN OTRAS MODALIDADES SI ES NECESARIO"
264,"World Without End - Edición en español de Devir. En perfecto estado, ni una sola partida.",pepelessar,Madrid,"KIALA, TAMBIÉN OTRAS MODALIDADES SI ES NECESARIO"
265,"PACK: Pack de Fillers For Sale (En Inglés, versión pocket. No dependiente del idioma. En muy buen estado, una partida. Doy reglas en español.) + Mow (Edición multilingüe, reglas en español. En perfecto estado, ni una sola partida.) + Tricks & Treats (Dependendia de idioma baja, reglas en inglés. En perfecto estado, ni una sola partida.)",pepelessar,Madrid,"KIALA, TAMBIÉN OTRAS MODALIDADES SI ES NECESARIO"
266,Agricola - Versión de Homolúdicos en Castellano.,allaro,,Sólo Kiala a menos que sea imposible en la zona
267,Caos en el Viejo Mundo - Versión de Edge en Castellano.,allaro,,Sólo Kiala a menos que sea imposible en la zona
268,Keyflower - Edición MASQUEOCA en Castellano.,allaro,,Sólo Kiala a menos que sea imposible en la zona
269,Lewis & Clark - Versión en Castellano de Asmodee.,allaro,,Sólo Kiala a menos que sea imposible en la zona
270,PACK: PACK Antike Duellum + Fungi + No Thanks! + Pirates! Card Game (Edición kickstarter)+ Wizard,allaro,,Sólo Kiala a menos que sea imposible en la zona
271,Chicago Express - Edicion multilenguaje de Queen Games. Castellano incluido. Con una sola partida. Como nuevo,Moler,Valladolid,kiala
272,PACK Niagara + Spirits Of Niagara - Zoch Edition ambos. Incluyo reglamento impreso en castellano. Muy poco uso. En perfecto estado.,Moler,Valladolid,kiala
273,Red Code - Edicion Dizemo. Abierto pero no se ha jugado ni una partida.,Moler,Valladolid,kiala
274,"BATTLESTAR GALACTICA - Español, como nuevo.",lajarin,Murcia,Kiala/UPS Access Point
275,"CUBA - alemán instrucciones español, Buen estado.",lajarin,Murcia,Kiala/UPS Access Point
276,"GHEOS - ingles instrucciones en español, como nuevo.",lajarin,Murcia,Kiala/UPS Access Point
277,INDUSTRIA - inglés traumaquetado al español. buen estado.,lajarin,Murcia,Kiala/UPS Access Point
278,"BEOWULF - español, precintado",lajarin,Murcia,Kiala/UPS Access Point
279,"21 mutinies - Español, como nuevo.",lajarin,Murcia,Kiala/UPS Access Point
280,"PACK SANTIAGO DE CUBA - santiago de cuba mas expansion la siesta + taxi, español. buen estado",lajarin,Murcia,Kiala/UPS Access Point
281,"PACK al gusto - elige 2 entre CONAN, CÀLICO ELECTRONICO, MAG*BLAST, ISIS y OSIRIS, EXPANSION MALDITOS, español buen estado",lajarin,Murcia,Kiala/UPS Access Point
282,"PACK ZOMBIES - Español, como nuevo. ingles la expansion",lajarin,Murcia,Kiala/UPS Access Point
283,"PACK HUMANOS Español, buen estado. ingles la expansion",lajarin,Murcia,Kiala/UPS Access Point
