#,Ítem,Nick,Ciudad / Región,Restricciones en el envío
82,"PACK: Pack Fillers El Gran Dalmuti (Cartas como nuevas) + Mystery Rummy: Jack the Ripper + Scarab Lords (Como nuevo, 1 de los mazos precintado) + Ubongo Mini",ryoga,,
83,Ever Green,fraterurbs,,
84,Havana,fraterurbs,,
85,Kohle: Mit Volldampf zum Reichtum,fraterurbs,,
86,"Labyrinth: The War on Terror, 2001-?",fraterurbs,,
87,Pyramidion,fraterurbs,,
88,Raja: Palastbau in Indien - Ninguna partida.,fraterurbs,,
89,"SCaTTeRGORIeS - Algunas partidas. Caja algo deteriorada, por los años que tiene.",fraterurbs,,
90,PACK: 1 Blox + Canyon,fraterurbs,,
91,"PACK: 2 Crisis (Recibida en una Mathtrade, una partida por mi parte.) + Hacienda + Quo Vadis?",fraterurbs,,
92,PACK: 3 Horus + Justinian,fraterurbs,,
93,PACK: 4 Patrician (Una partida.) + Porto Carthago,fraterurbs,,
